temperature,relative_humidity,wind_speed,apparent_temperature,activity_level,exposure_duration,cooling_access,age_group,risk_score,risk_class
31.3,32.1,17.6,29.3,3,2,1,1,38.8,1
28.1,80.5,26.8,29.0,2,1,1,1,27.5,0
25.3,53.0,30.0,23.3,1,1,2,1,15.6,0
25.3,67.5,2.2,28.0,2,2,1,2,34.2,0
23.3,91.6,19.1,24.2,1,1,3,2,31.3,0
47.6,62.6,33.4,59.6,3,2,2,2,100.0,3
42.9,58.8,31.6,49.4,2,1,1,2,66.8,2
33.6,65.1,11.1,38.6,1,1,1,2,38.8,1
34.2,26.1,9.6,32.9,2,2,1,2,43.3,1
24.2,48.6,31.9,22.2,2,2,3,2,39.9,1
29.4,15.5,13.6,27.4,2,3,3,2,55.9,1
36.1,32.6,9.2,36.7,2,1,1,2,43.5,1
30.1,28.2,17.4,28.1,1,2,1,2,28.6,0
37.3,25.9,17.2,35.4,1,1,1,2,36.1,1
40.8,45.3,26.8,43.0,3,1,1,1,50.6,1
28.5,67.0,27.8,27.7,2,2,3,1,42.8,1
18.6,27.2,6.2,16.6,2,2,1,2,16.6,0
36.2,74.8,5.8,45.8,3,3,1,1,76.5,2
27.4,69.2,33.6,25.4,1,2,1,2,23.5,0
41.2,83.0,21.8,53.2,1,3,2,2,86.5,3
30.9,44.6,18.7,29.8,1,3,3,1,50.7,1
42.9,71.6,16.4,54.9,2,3,1,3,95.6,3
34.1,53.7,16.4,36.4,2,1,3,3,69.5,2
25.3,52.2,22.1,23.3,1,1,3,1,26.2,0
24.4,78.8,13.2,25.8,3,2,1,1,37.0,1
39.6,54.1,27.0,43.2,2,2,2,2,71.0,2
20.8,32.7,24.8,18.8,1,2,2,2,15.7,0
27.9,71.2,10.9,30.6,1,1,1,1,24.5,0
34.1,76.0,8.1,41.9,1,1,2,3,58.0,1
21.0,30.5,9.5,19.0,1,1,2,2,13.5,0
47.2,59.3,25.0,59.2,1,3,2,3,100.0,3
31.2,29.7,3.7,30.9,3,1,3,2,57.0,1
20.2,65.4,3.8,20.6,1,2,1,3,23.8,0
36.2,78.3,9.4,45.8,2,1,2,3,77.9,2
47.7,39.4,22.5,53.6,2,2,3,2,98.0,3
22.7,28.9,4.5,20.7,1,1,2,2,20.4,0
24.9,71.6,25.2,23.4,2,2,3,2,40.1,1
46.0,49.0,20.0,54.3,2,3,3,1,96.7,3
23.0,39.6,26.7,21.0,2,1,1,2,16.5,0
33.0,54.5,4.7,37.1,1,1,1,2,33.7,0
20.7,92.0,29.6,18.7,2,3,3,2,40.2,1
40.7,52.6,23.5,45.4,3,1,2,2,78.0,2
32.8,22.3,13.5,30.799999999999997,1,2,3,2,47.3,1
46.4,80.1,20.2,58.4,2,1,1,3,88.8,3
30.1,56.2,34.6,28.1,2,2,2,1,36.5,1
36.8,75.8,8.7,46.6,2,3,2,2,86.7,3
21.6,92.9,22.1,21.2,1,1,2,2,24.3,0
45.4,51.9,5.9,56.9,3,1,2,2,100.0,3
26.2,81.8,34.3,24.7,1,2,1,3,22.9,0
43.9,37.1,28.1,45.5,2,3,2,3,86.2,3
26.5,38.9,21.4,24.5,3,1,1,2,30.9,0
34.3,51.4,12.6,37.0,1,2,2,2,54.8,1
41.3,18.5,26.6,39.3,2,3,1,2,66.4,2
32.9,18.0,18.6,30.9,2,3,3,2,55.9,1
33.8,51.6,25.8,33.7,2,2,1,2,49.5,1
38.8,67.0,30.1,44.2,3,3,1,2,79.7,2
39.6,75.8,30.8,47.6,1,1,2,3,74.4,2
31.0,22.9,22.9,29.0,3,1,2,3,52.7,1
19.4,78.7,11.7,19.0,1,1,2,2,14.2,0
20.4,84.7,22.5,18.7,1,3,1,2,16.8,0
25.6,35.4,2.3,25.0,3,3,2,1,45.5,1
35.6,66.1,16.0,41.1,1,3,1,2,59.4,1
32.5,34.0,20.9,30.5,2,3,1,3,51.4,1
35.0,69.9,26.6,38.7,1,2,2,3,58.6,1
26.6,78.9,22.0,27.4,1,2,2,2,34.3,0
43.2,65.3,31.8,51.7,2,1,2,2,77.1,2
40.0,22.2,11.7,39.1,2,1,1,2,54.0,1
45.4,81.4,10.5,57.4,3,1,3,2,100.0,3
28.2,24.2,33.8,26.2,1,3,3,2,52.2,1
42.1,44.3,28.1,44.6,1,2,2,2,65.1,2
38.2,61.8,29.1,42.1,3,1,1,1,61.8,2
45.5,32.7,4.1,51.3,3,3,1,2,90.8,3
22.2,90.7,12.0,23.9,2,1,3,1,29.1,0
40.3,90.7,15.8,52.3,2,1,2,1,77.8,2
32.7,47.6,33.4,30.700000000000003,1,1,2,3,40.6,1
38.6,58.6,34.3,41.1,1,1,1,1,40.7,1
43.4,51.4,23.9,49.7,2,2,1,2,76.1,2
34.9,20.5,27.3,32.9,1,1,3,2,47.1,1
22.4,87.0,2.1,25.7,3,1,1,2,36.5,1
18.8,16.2,28.1,16.8,1,1,1,1,5.0,0
40.3,57.1,26.6,45.2,2,2,2,1,63.9,2
19.3,77.7,30.6,17.3,2,1,3,1,20.6,0
32.4,47.1,24.6,31.1,2,3,1,1,42.9,1
26.3,65.6,20.1,25.8,1,3,2,2,37.5,1
36.2,22.9,25.2,34.2,3,2,2,2,63.8,2
24.9,42.1,17.0,22.9,2,1,2,2,31.5,0
29.2,27.2,32.5,27.2,1,3,1,1,28.2,0
34.7,61.9,20.5,38.0,1,1,1,2,36.4,1
40.5,84.4,25.8,52.5,3,2,1,2,89.9,3
24.7,23.7,29.9,22.7,1,2,2,3,35.0,0
43.4,93.0,29.0,55.4,2,2,1,3,92.3,3
23.4,71.2,12.2,23.8,1,1,3,2,27.7,0
30.0,26.3,22.9,28.0,1,2,1,2,27.7,0
39.6,77.1,20.7,49.9,1,1,1,2,64.4,2
38.2,36.8,23.8,37.7,2,1,1,2,50.5,1
26.5,69.3,18.1,26.9,2,1,1,2,30.8,0
18.2,39.1,9.0,16.2,1,1,1,1,5.0,0
29.4,71.3,18.5,31.4,3,3,1,3,60.6,1
19.3,16.5,32.4,17.3,3,2,2,2,31.7,0
18.6,41.0,28.4,16.6,2,3,3,1,32.1,0
43.3,34.5,21.4,45.1,2,1,1,2,61.0,2
33.3,24.1,18.8,31.299999999999997,3,1,2,3,58.3,1
42.5,33.9,6.8,46.6,1,2,2,2,71.4,2
32.8,75.4,27.1,35.9,2,3,2,2,68.1,2
36.7,84.1,22.7,45.4,1,1,2,2,61.2,2
33.2,39.8,16.9,32.6,1,3,1,3,49.1,1
43.7,64.2,18.7,55.0,2,2,2,3,93.3,3
37.6,40.7,17.7,38.8,1,1,1,3,48.9,1
28.3,72.1,18.7,29.8,1,1,2,2,31.8,0
29.2,37.6,15.5,27.2,1,2,2,2,34.4,0
20.0,22.6,24.4,18.0,1,2,2,3,24.6,0
35.5,26.3,13.5,33.9,3,2,1,2,54.0,1
46.1,39.8,14.4,52.6,2,3,2,3,99.0,3
33.8,66.7,16.0,38.2,1,1,1,2,37.6,1
46.4,53.9,9.5,58.4,1,1,3,1,87.3,3
44.5,18.0,13.1,43.5,2,1,1,1,49.2,1
42.9,76.7,28.7,54.9,1,1,2,2,78.6,2
26.5,74.9,16.8,27.8,2,1,3,2,47.3,1
43.1,44.4,33.3,45.3,3,1,1,2,63.7,2
42.5,79.1,6.6,54.5,1,2,3,2,89.6,3
21.1,82.7,30.1,19.1,1,2,1,3,19.6,0
46.4,32.8,16.9,50.2,1,1,1,2,65.1,2
25.1,94.6,14.4,28.2,1,3,3,2,49.7,1
26.6,81.4,25.0,27.1,1,2,2,1,28.1,0
20.4,35.5,29.6,18.4,2,2,2,1,21.2,0
19.4,48.6,28.2,17.4,2,1,3,2,28.0,0
18.5,56.2,10.0,16.5,1,1,2,2,6.1,0
20.6,93.0,4.2,23.2,2,2,3,2,44.2,1
29.7,52.6,23.0,28.4,3,1,1,2,37.4,1
36.8,76.7,26.3,43.3,1,1,2,3,65.9,2
23.3,77.3,17.3,23.2,2,2,3,1,37.8,1
26.8,18.5,8.6,24.8,1,3,2,3,38.5,1
34.3,35.3,26.9,32.3,1,1,2,3,42.1,1
29.0,86.2,26.5,31.2,3,1,3,2,59.9,1
32.9,88.9,19.1,39.8,3,2,1,2,67.6,2
27.6,21.4,23.8,25.6,1,2,2,2,28.9,0
28.5,18.4,30.7,26.5,1,3,1,3,38.2,1
37.1,44.1,28.4,36.7,2,3,1,2,58.3,1
41.4,17.8,4.2,41.2,2,1,1,2,51.8,1
46.5,44.8,27.2,52.4,2,2,1,2,78.6,2
25.5,24.1,26.3,23.5,2,1,2,2,29.7,0
47.9,37.8,32.2,51.4,2,1,3,2,89.8,3
45.0,50.6,4.9,56.0,2,3,1,2,96.3,3
44.7,83.1,25.5,56.7,3,2,2,2,100.0,3
21.6,31.1,6.6,19.6,2,1,2,2,23.9,0
36.4,21.9,12.2,34.4,3,2,2,2,60.5,1
42.7,20.9,34.1,40.7,2,1,2,2,64.0,2
37.2,29.6,33.9,35.2,2,3,1,1,47.9,1
22.6,28.2,12.6,20.6,2,1,3,3,37.8,1
37.1,59.1,6.1,44.2,1,2,2,1,58.6,1
46.2,27.3,23.7,46.7,2,2,3,2,84.9,3
19.4,66.3,21.0,17.4,2,2,2,2,24.4,0
32.9,65.2,11.6,37.4,3,1,3,2,69.6,2
19.8,50.2,18.0,17.8,1,2,1,2,11.6,0
40.0,83.9,34.2,49.7,1,1,2,2,67.1,2
25.4,22.7,11.6,23.4,1,2,1,3,26.1,0
22.8,41.2,21.1,20.8,1,2,2,2,20.9,0
18.7,90.6,18.7,17.5,3,1,1,1,15.1,0
32.8,85.6,23.6,38.2,2,2,3,2,72.3,2
40.9,44.3,15.2,45.2,2,1,2,1,61.2,2
33.1,76.2,11.2,39.6,3,2,1,3,67.4,2
28.2,90.1,26.9,30.3,1,2,2,1,37.9,1
22.1,41.6,17.6,20.1,2,2,2,2,28.7,0
47.7,74.1,11.9,59.7,1,3,2,2,98.1,3
27.0,80.3,14.2,29.7,2,3,2,2,52.5,1
18.8,53.0,33.9,16.8,2,2,2,2,20.1,0
35.5,28.6,22.8,33.5,2,3,1,2,58.9,1
21.3,16.5,12.4,19.3,1,2,2,2,21.5,0
45.6,84.8,26.3,57.6,1,1,1,2,74.7,2
27.4,28.9,32.1,25.4,1,1,2,2,22.7,0
37.3,70.5,22.1,43.8,1,1,2,2,60.5,1
26.7,31.6,25.3,24.7,1,1,3,2,30.7,0
26.2,24.7,24.3,24.2,1,3,3,3,47.9,1
26.6,72.1,13.4,28.3,2,1,2,2,36.6,1
34.2,89.6,25.0,41.2,1,2,2,2,58.3,1
37.1,19.2,15.6,35.1,2,1,2,1,43.1,1
34.5,89.3,15.4,43.6,3,3,2,1,83.2,3
37.4,87.6,5.0,49.4,2,2,2,3,87.0,3
45.4,29.0,31.1,44.7,1,3,3,2,73.2,2
46.9,89.1,30.9,58.9,1,2,1,3,89.8,3
26.5,94.1,19.9,29.3,2,3,3,2,59.8,1
22.9,51.7,10.5,21.6,1,2,2,2,25.6,0
40.7,29.0,30.3,38.7,3,3,2,1,71.5,2
22.2,40.9,10.2,20.2,1,1,2,3,19.6,0
27.1,72.8,2.4,31.2,2,2,1,1,36.9,1
33.1,86.6,25.2,38.6,1,1,3,2,58.5,1
36.4,32.5,6.4,37.6,1,2,2,2,50.6,1
34.1,68.1,9.2,40.3,1,2,3,1,59.3,1
31.4,71.3,4.6,37.3,2,1,2,2,53.5,1
27.8,56.6,5.8,29.6,1,2,1,2,31.3,0
42.3,51.3,18.9,48.7,2,1,2,3,79.8,2
42.5,74.7,21.1,54.5,1,1,1,3,73.2,2
46.0,20.5,32.8,44.0,1,1,2,2,62.4,2
30.6,94.4,14.6,37.4,3,3,1,2,67.4,2
37.9,58.1,23.6,41.9,1,1,2,2,54.8,1
18.1,16.8,11.8,16.1,2,2,2,3,25.8,0
25.4,42.7,11.1,23.8,3,2,1,3,38.7,1
44.5,16.3,8.8,43.8,1,1,2,2,60.5,1
19.5,74.2,15.3,18.1,1,1,3,1,12.1,0
42.5,73.5,12.5,54.5,2,2,1,2,84.6,3
22.3,67.8,9.3,22.5,1,1,3,3,35.1,0
30.8,54.6,34.1,28.8,3,2,2,2,51.6,1
30.5,26.9,14.4,28.5,2,1,3,2,44.7,1
45.4,60.0,33.9,54.1,2,1,1,2,73.6,2
37.4,88.8,30.0,46.3,1,2,1,2,60.4,1
44.2,30.1,27.1,44.0,2,2,2,3,74.8,2
28.0,91.6,2.5,34.9,3,3,1,3,66.6,2
36.1,31.4,32.2,34.1,2,2,1,2,48.2,1
28.8,35.9,18.9,26.8,2,1,3,2,45.8,1
29.1,48.1,20.6,27.5,1,1,1,3,22.4,0
35.4,48.4,7.0,39.2,1,1,3,2,55.0,1
25.7,80.7,33.9,23.9,2,1,1,2,20.5,0
23.1,72.6,18.1,22.3,3,2,2,1,41.5,1
46.4,68.5,27.2,58.4,2,3,1,2,98.7,3
18.3,55.5,14.3,16.3,2,2,2,2,22.7,0
34.5,15.9,19.5,32.5,1,3,1,3,48.1,1
38.2,79.5,32.0,45.5,1,1,1,1,45.0,1
26.0,46.8,14.3,24.4,2,2,3,2,43.8,1
38.5,82.8,23.6,48.4,3,2,1,2,80.9,2
18.3,28.7,18.5,16.3,2,2,2,3,27.7,0
20.9,57.3,3.4,20.9,1,3,3,2,37.2,1
45.8,86.9,20.6,57.8,1,3,1,3,93.9,3
35.6,75.2,25.5,41.0,1,1,1,2,47.7,1
44.9,41.5,26.9,48.7,1,3,2,2,77.1,2
47.2,19.3,16.4,46.8,3,1,2,3,81.4,3
18.9,36.9,34.8,16.9,2,1,3,2,27.6,0
38.4,67.9,4.8,48.6,2,2,2,1,78.3,2
37.0,74.2,12.5,45.9,1,1,1,2,58.5,1
26.1,25.6,8.2,24.1,2,2,2,1,31.3,0
35.9,41.0,14.7,37.0,1,1,1,3,45.1,1
45.2,93.3,20.9,57.2,1,1,1,2,74.7,2
31.0,48.7,18.0,30.7,1,1,1,2,27.9,0
35.8,30.6,5.5,36.6,1,3,1,2,51.2,1
28.0,80.2,30.4,28.1,3,1,1,3,42.1,1
24.0,40.1,33.8,22.0,3,1,2,2,33.5,0
29.3,80.3,15.0,33.1,1,2,2,2,44.3,1
38.5,59.0,33.4,41.2,2,2,2,2,66.1,2
41.9,47.7,18.5,47.1,2,1,2,2,68.1,2
41.7,20.9,34.7,39.7,2,1,2,3,62.9,2
41.7,43.8,31.6,43.2,2,2,1,2,61.4,2
37.7,43.4,23.4,38.4,1,3,2,2,60.8,1
30.9,15.8,10.5,28.9,2,2,2,2,39.1,1
31.4,46.3,27.5,29.4,2,2,1,1,36.6,1
46.9,24.3,33.0,44.9,1,1,2,2,62.0,2
32.5,53.1,16.5,33.8,2,1,1,3,50.1,1
37.4,69.2,7.4,46.5,3,1,1,1,70.5,2
34.8,91.7,9.7,45.7,2,1,2,2,73.3,2
23.9,62.4,14.8,23.1,2,1,2,3,34.8,0
19.9,23.1,30.8,17.9,1,1,2,2,13.8,0
37.2,62.8,22.2,42.0,2,1,3,2,67.9,2
42.4,71.5,11.8,54.4,2,1,1,1,73.0,2
38.8,55.9,15.8,44.4,1,1,1,2,54.0,1
38.8,66.6,35.0,43.1,2,1,1,2,57.4,1
28.8,15.8,6.5,26.8,3,3,2,2,56.1,1
38.5,48.3,29.7,39.5,2,1,1,2,51.2,1
34.1,28.5,17.1,32.1,2,2,2,1,48.3,1
21.4,77.0,29.2,19.4,1,3,1,2,12.3,0
21.1,81.4,26.8,19.1,1,3,2,2,23.8,0
42.5,50.1,34.8,45.6,2,1,3,2,74.4,2
37.0,28.3,6.6,37.6,1,1,1,2,43.5,1
26.4,58.1,12.7,26.5,2,1,1,3,37.1,1
20.9,92.0,27.9,19.0,3,3,3,1,43.5,1
44.0,35.0,25.5,45.5,3,2,2,2,81.8,3
30.4,51.2,22.9,29.3,3,1,2,2,47.4,1
46.1,44.5,33.4,50.4,1,1,2,2,70.0,2
37.9,43.7,4.1,42.6,2,1,2,2,61.5,2
26.1,81.3,13.1,28.6,2,2,2,2,44.8,1
21.0,77.7,17.2,20.0,1,3,2,1,21.9,0
46.7,31.2,24.7,48.6,1,2,1,3,70.5,2
25.5,44.7,31.8,23.5,1,1,1,2,18.5,0
25.0,67.4,25.2,23.1,1,1,1,2,14.0,0
38.9,80.4,34.6,46.5,2,1,1,2,64.0,2
39.9,23.2,12.3,39.1,3,1,2,2,71.3,2
22.3,57.4,2.3,22.9,2,1,2,2,34.7,0
22.5,47.9,24.7,20.5,3,1,1,2,23.4,0
46.9,40.2,6.6,55.6,1,1,2,2,78.4,2
36.2,77.3,24.8,42.6,3,2,1,2,67.1,2
26.9,19.4,31.6,24.9,3,1,1,2,33.2,0
35.8,57.3,34.3,36.2,3,3,1,3,68.6,2
38.5,76.0,33.5,45.0,2,1,1,2,60.6,1
19.2,19.8,28.0,17.2,2,2,2,2,24.3,0
34.1,64.3,11.2,39.2,1,2,1,3,53.2,1
34.1,46.3,22.9,33.8,3,2,1,2,54.8,1
19.7,21.9,16.3,17.7,2,2,1,2,13.7,0
40.2,24.6,25.4,38.2,2,1,3,2,64.2,2
23.0,25.2,27.8,21.0,1,3,2,1,20.5,0
42.2,36.8,4.1,47.4,2,2,1,2,70.0,2
35.0,44.4,10.4,37.2,1,2,2,2,54.8,1
33.3,18.5,30.5,31.299999999999997,1,1,1,1,28.4,0
34.6,88.1,26.4,41.4,2,1,2,2,60.1,1
26.1,21.2,14.3,24.1,2,3,1,3,47.1,1
20.1,52.2,11.3,18.1,3,1,2,1,22.5,0
24.0,60.1,12.0,23.6,2,1,2,2,30.3,0
45.0,75.8,10.1,57.0,1,1,1,2,73.6,2
43.2,85.2,33.4,55.2,1,2,3,2,94.4,3
25.1,54.4,4.0,26.0,3,2,1,3,48.3,1
44.9,56.6,25.1,53.7,1,3,1,1,79.4,2
20.2,60.4,16.4,18.2,3,1,1,2,24.8,0
42.0,71.1,26.3,52.0,1,1,1,2,66.8,2
22.7,28.1,17.4,20.7,2,2,3,2,34.6,0
27.2,36.2,6.0,26.3,1,2,3,2,44.5,1
27.8,22.3,10.2,25.8,1,2,2,2,33.2,0
47.7,17.5,15.3,47.0,2,2,1,2,71.7,2
18.4,81.4,34.4,16.4,1,3,1,2,12.8,0
37.3,61.6,10.5,44.2,3,1,1,3,71.9,2
45.2,81.3,12.9,57.2,1,1,1,2,76.0,2
42.7,46.6,3.0,51.1,2,1,1,1,66.6,2
19.0,64.5,10.1,17.7,1,1,2,1,11.6,0
26.4,26.0,8.6,24.4,3,2,2,3,52.6,1
41.5,43.7,20.0,45.1,2,3,2,2,73.5,2
23.4,40.5,9.2,21.4,3,2,1,3,33.9,0
48.0,92.9,5.3,60.0,2,1,3,3,100.0,3
19.7,94.7,9.2,21.1,3,2,1,3,38.5,1
35.8,79.5,25.0,42.3,3,1,2,3,75.5,2
34.9,60.0,8.2,40.3,3,3,2,2,79.1,2
25.0,32.5,19.4,23.0,1,3,1,1,21.1,0
39.5,88.5,29.9,50.6,1,1,2,3,76.4,2
43.8,91.8,14.3,55.8,3,1,1,2,84.3,3
22.1,27.6,33.3,20.1,2,3,2,1,34.6,0
45.9,78.0,9.4,57.9,2,1,1,2,84.1,3
21.8,73.3,33.3,19.8,3,1,3,3,46.6,1
45.6,92.4,9.3,57.6,2,3,1,2,97.0,3
25.1,93.6,7.5,29.5,3,1,2,2,50.8,1
26.0,35.0,4.2,25.1,1,1,1,2,16.0,0
40.0,92.5,31.2,52.0,2,1,2,1,71.2,2
37.5,70.0,7.4,46.9,1,3,1,2,69.7,2
46.5,20.9,7.6,48.1,1,2,2,3,80.0,2
36.4,53.6,3.0,42.5,3,1,3,1,76.0,2
21.0,31.4,8.3,19.0,2,2,2,2,27.4,0
19.5,60.7,29.7,17.5,1,1,2,2,12.9,0
37.9,63.0,8.6,45.9,1,1,1,1,51.4,1
29.9,54.1,23.8,28.8,1,2,1,3,33.7,0
29.1,50.7,10.7,29.7,2,1,1,1,29.1,0
20.6,42.5,19.9,18.6,3,2,2,3,36.4,1
42.6,48.5,19.7,48.3,3,1,3,2,94.3,3
39.4,55.2,31.7,42.2,3,2,2,1,75.1,2
40.7,28.8,34.5,38.7,3,3,1,2,72.9,2
47.9,65.2,29.5,59.9,1,3,3,1,100.0,3
29.6,46.8,12.8,29.5,1,1,3,2,37.5,1
30.6,48.2,6.9,32.2,2,2,3,3,61.4,2
34.9,23.1,11.4,32.9,2,1,2,2,43.4,1
19.1,37.0,6.7,17.1,2,2,1,3,22.7,0
27.9,34.0,26.6,25.9,3,3,1,3,51.6,1
32.7,70.7,5.2,39.2,3,1,3,2,75.1,2
42.8,36.6,15.8,46.0,2,1,1,3,68.2,2
44.0,80.7,19.0,56.0,1,1,2,1,71.2,2
43.5,85.3,3.0,55.5,1,3,3,2,93.1,3
39.1,36.9,29.2,37.9,2,2,1,1,51.3,1
29.2,62.5,7.9,32.0,3,2,1,1,50.5,1
38.7,37.8,14.8,40.4,1,2,3,3,67.8,2
37.4,69.2,10.9,45.9,2,1,2,2,75.7,2
37.4,63.1,2.3,46.3,1,3,1,3,73.2,2
37.3,48.9,14.4,40.8,1,1,2,2,54.2,1
21.1,55.9,23.9,19.1,3,1,2,2,27.7,0
27.0,23.6,4.1,25.0,3,2,3,2,52.3,1
27.0,27.0,27.3,25.0,3,3,3,2,54.5,1
37.8,69.5,25.8,43.8,2,3,1,2,70.9,2
39.2,60.8,8.3,47.7,2,1,2,2,73.9,2
45.2,68.7,18.7,57.2,3,3,3,1,100.0,3
25.8,79.7,27.2,25.2,1,2,1,1,19.7,0
28.7,74.5,12.1,32.0,2,1,1,2,39.9,1
44.0,61.7,33.2,52.0,1,3,2,3,87.9,3
29.5,38.9,3.8,30.0,3,1,1,2,37.7,1
31.7,40.3,25.6,29.7,2,1,2,1,33.8,0
37.0,15.4,11.0,35.0,2,1,2,2,50.7,1
36.4,65.7,15.3,42.5,3,1,1,1,59.0,1
29.2,16.1,12.6,27.2,3,1,2,2,44.6,1
28.3,25.3,14.7,26.3,2,1,3,2,45.8,1
26.7,73.2,21.7,26.9,1,3,3,2,48.9,1
23.7,90.8,32.3,22.2,2,1,2,1,21.2,0
40.0,62.2,7.6,49.6,1,2,1,3,72.8,2
19.5,94.6,23.8,17.9,2,1,2,2,22.9,0
29.4,58.8,17.7,29.9,1,2,2,2,37.5,1
26.1,63.5,6.5,27.9,3,1,2,1,37.7,1
21.4,23.5,8.6,19.4,1,1,2,2,13.9,0
19.2,54.7,8.9,17.5,3,1,1,2,18.1,0
45.2,81.8,24.1,57.2,1,1,2,2,84.1,3
24.9,94.1,11.8,28.4,2,1,1,1,27.9,0
26.7,79.1,12.3,29.4,2,1,2,1,37.7,1
23.1,43.6,16.4,21.1,2,3,1,3,32.6,0
23.5,47.1,33.8,21.5,1,1,3,2,22.7,0
21.4,70.7,3.9,22.6,3,1,2,2,32.7,0
42.1,69.3,8.0,54.1,1,1,1,2,73.5,2
21.9,88.6,5.7,24.5,2,1,1,2,19.0,0
39.1,69.2,27.3,45.8,2,2,3,2,81.4,3
39.0,22.6,23.8,37.0,1,1,2,2,48.8,1
43.2,59.7,34.6,49.6,1,2,1,3,75.9,2
20.2,54.3,9.9,18.5,3,1,1,2,17.9,0
30.1,33.8,17.2,28.1,3,1,3,2,55.3,1
37.6,23.2,15.6,35.6,2,1,1,2,46.7,1
36.6,39.4,18.8,36.9,1,2,3,2,60.7,1
31.6,59.8,22.5,32.4,2,2,2,1,47.5,1
40.8,32.7,13.3,42.5,3,3,1,2,76.9,2
22.9,26.2,25.7,20.9,2,1,2,1,19.5,0
45.9,46.4,17.1,53.9,2,2,1,2,87.9,3
35.7,76.8,16.9,43.2,2,3,1,2,68.2,2
33.9,18.9,32.9,31.9,3,1,2,3,59.5,1
39.9,25.3,14.8,39.1,2,3,2,2,72.9,2
47.4,88.3,27.2,59.4,1,3,3,2,100.0,3
39.0,74.9,11.9,49.9,2,3,2,3,96.3,3
37.0,31.1,22.6,35.0,1,1,2,3,43.9,1
33.1,70.5,12.6,38.4,1,1,2,2,43.6,1
38.0,48.4,26.7,39.3,3,1,3,3,77.8,2
22.4,68.6,8.6,22.8,2,1,1,2,21.6,0
43.2,70.2,11.7,55.2,2,1,3,1,91.7,3
43.9,74.4,20.5,55.9,1,2,2,2,83.2,3
37.9,89.1,14.8,49.9,3,3,1,2,92.3,3
36.6,77.5,30.7,42.3,3,3,2,2,83.9,3
40.7,58.7,21.9,47.2,2,3,1,1,71.9,2
23.2,56.1,14.4,21.6,2,2,1,2,24.0,0
25.7,41.4,25.4,23.7,1,1,1,1,13.4,0
37.9,54.2,20.9,41.6,1,2,1,2,52.1,1
